org_video,label,start_frm,video_id
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,1152,72
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,1168,73
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,1184,74
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,1200,75
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,1216,76
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,1232,77
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,1248,78
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,1264,79
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,1280,80
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,1296,81
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,1312,82
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,1328,83
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,1344,84
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,1360,85
/home/islama6a/local/UCF_crime/Anomaly-Videos/Abuse/Abuse041_x264.mp4,0,1376,86
